id,name,latitude,longitude,x,y,type,image_path,open_time,close_time,description
11,MarbleTemple,13.7666,100.514,751,129,Attraction,MarbleTemple.jpg,6:00,17:00,"Tha Maharaj  is a pier situated between three key landmarks (Grand Palace, Thammasat University, and Silapakorn Fine Arts University).  The pier (""Tha"" in Thai) was recently renovated and is now packed with trendy restaurants.  Also, itís next to a large amulet market, a unique place to explore."
12,King Rama V Monument,13.7554,100.505,535,377,Attraction,King Rama V Monument.jpg,0:00,23:00,"Besides housing a gigantic reclining Buddha, Wat Pho  is also known for being one of the first centers of public education in Thailand and the birth place of Thai massage.  You will see many statues with various postures inside the temple (similar to yoga poses).  If you want a truly authentic Thai massage, you can visit the massage place inside the temple (see map) Photo by Krissanapong Wongsawarng"
13,Savoey,13.7466,100.532,1182,571,Restaurant,Savoey.jpg,11:00,22:00,Food heaven where you can find anything from street food to high end Chinese Restaurant
14,Krua Khun Kung kitchen,13.755,100.486,80,386,Restaurant,Krua Khun Kung kitchen.jpg,11:00,22:00,"Khun Dang Guay Jub Yuan  serves Vietnamese noodles (different from pho, where the texture of the noodle is chewy).  Try the ""Pork sausage spicy Thai salad"" which is a Thai/Vietnamese fusion dish"
15,China Town,13.7404,100.51,655,708,Restaurant,China Town.jpg,0:00,23:00,"Krua Apsorn  is another local favorite with home style cooking.  Don't expect fancy decoration, but you can expect tasty foods.  This place is often jam packed with locals and you may find a lively, chaotic scene."
16,Nang Loeng Market,13.7591,100.512,703,295,Restaurant,Nang Loeng Market.jpg,8:00,16:00,"Situated inside the RTN (Royal Thai Navy) club house (enter from main road, not from Tha Chang pier), Krua Khun Kung  is a Thai restaurant with a home style cooking.  You can find some dishes that cannot be easily found elsewhere, such as ""A.09 Cold dish fried red fish with Thai herbs"".  Enjoy your food right next to Chao Phraya river, seeing boats cruise past Wat Arun"
17,Swing Bar by ChingCha,13.7525,100.504,511,441,Restaurant,Swing Bar by ChingCha.jpg,17:00,23:00,Variety of street foods with nostalgic atmosphere.
18,Khun Dang Guay Jub Yuan,13.762,100.494,271,231,Restaurant,Khun Dang Guay Jub Yuan.jpg,11:00,21:30,"Raweekanlaya Dining, where you can experience Thai royal authentic cuisine dated back to King Rama 6. The hotel offer Thai dining atmosphere with healthy and natural ingredients from local farmers.  Call to make a reservation on 02 628 5999"
19,Krua Apsorn,13.7553,100.502,463,379,Restaurant,Krua Apsorn.jpg,10:30,20:00,"More than 45 years of serving authentic Thai cuisine, with inspiration of ""Fresh and Delectable"".  Try Savoeyís signature spring rolls, while sitting outside to enjoy the view of Chao Phraya River."
20,Raweekanlaya Dining,13.7678,100.505,535,103,Restaurant,Raweekanlaya Dining.jpg,6:30,21:00,"Swing Bar is a rooftop bar of ChingCha Bangkok Hostel, where you can chill out and enjoy local craft beers, cocktails and
Thai dishes with great views of Giant Swing and Golden Mount."
