id,line,from_place_id,to_place_id,departure_time,arrival_time,distance,speed,status
77,2,16,6,15:11,15:21,11300,75,AVAILABLE
78,2,6,5,15:23,15:30,8570,75,AVAILABLE
79,2,5,3,15:32,15:38,6310,75,AVAILABLE
80,2,3,2,15:40,15:56,19900,75,AVAILABLE
81,1,2,3,15:30,15:46,19900,75,AVAILABLE
82,1,3,5,15:48,15:54,6310,75,AVAILABLE
83,1,5,15,15:56,16:03,8570,75,AVAILABLE
84,1,15,7,16:05,16:15,11300,75,AVAILABLE
85,1,7,9,16:17,16:23,7050,75,AVAILABLE
86,1,9,10,16:25,16:28,3580,75,AVAILABLE
87,1,10,17,16:30,16:34,4860,75,AVAILABLE
88,1,17,2,16:36,16:41,5970,75,AVAILABLE
89,2,2,11,16:15,16:20,5970,75,AVAILABLE
90,2,11,10,16:22,16:26,4860,75,AVAILABLE
91,2,10,9,16:28,16:31,3580,75,AVAILABLE
92,2,9,16,16:33,16:39,7050,75,AVAILABLE
93,2,16,6,16:41,16:51,11300,75,AVAILABLE
94,2,6,5,16:53,17:00,8570,75,AVAILABLE
95,2,5,3,17:02,17:08,6310,75,AVAILABLE
96,2,3,2,17:10,17:26,19900,75,AVAILABLE
97,1,2,3,17:00,17:16,19900,75,AVAILABLE
98,1,3,5,17:18,17:24,6310,75,AVAILABLE
99,1,5,15,17:26,17:33,8570,75,AVAILABLE
100,1,15,7,17:35,17:45,11300,75,AVAILABLE
101,1,7,9,17:47,17:53,7050,75,AVAILABLE
102,1,9,10,17:55,17:58,3580,75,AVAILABLE
103,1,10,17,18:00,18:04,4860,75,AVAILABLE
104,1,17,2,18:06,18:11,5970,75,AVAILABLE
105,2,2,11,17:45,17:50,5970,75,AVAILABLE
106,2,11,10,17:52,17:56,4860,75,AVAILABLE
107,2,10,9,17:58,18:01,3580,75,AVAILABLE
108,2,9,16,18:03,18:09,7050,75,AVAILABLE
109,2,16,6,18:11,18:21,11300,75,AVAILABLE
110,2,6,5,18:23,18:30,8570,75,AVAILABLE
111,2,5,3,18:32,18:38,6310,75,AVAILABLE
112,2,3,2,18:40,18:56,19900,75,AVAILABLE
113,1,2,3,18:30,18:46,19900,75,AVAILABLE
114,1,3,5,18:48,18:54,6310,75,AVAILABLE
115,1,5,15,18:56,19:03,8570,75,AVAILABLE
116,1,15,7,19:05,19:15,11300,75,AVAILABLE
117,1,7,9,19:17,19:23,7050,75,AVAILABLE
118,1,9,10,19:25,19:28,3580,75,AVAILABLE
119,1,10,17,19:30,19:34,4860,75,AVAILABLE
120,1,17,2,19:36,19:41,5970,75,AVAILABLE
121,2,2,11,19:15,19:20,5970,75,AVAILABLE
122,2,11,10,19:22,19:26,4860,75,AVAILABLE
123,2,10,9,19:28,19:31,3580,75,AVAILABLE
124,2,9,16,19:33,19:39,7050,75,AVAILABLE
125,2,16,6,19:41,19:51,11300,75,AVAILABLE
126,2,6,5,19:53,20:00,8570,75,AVAILABLE
127,2,5,3,20:02,20:08,6310,75,AVAILABLE
128,2,3,2,20:10,20:26,19900,75,AVAILABLE
129,1,2,3,20:00,20:16,19900,75,AVAILABLE
130,1,3,5,20:18,20:24,6310,75,AVAILABLE
131,1,5,15,20:26,20:33,8570,75,AVAILABLE
132,1,15,7,20:35,20:45,11300,75,AVAILABLE
133,1,7,9,20:47,20:53,7050,75,AVAILABLE
134,1,9,10,20:55,20:58,3580,75,AVAILABLE
135,1,10,17,21:00,21:04,4860,75,UNAVAILABLE
136,1,17,2,21:06,21:11,5970,75,AVAILABLE
137,3,7,1,8:00,8:11,7570,45,AVAILABLE
138,3,1,19,8:13,8:19,3760,45,AVAILABLE
139,3,19,12,8:21,8:27,4190,45,AVAILABLE
140,4,12,10,8:30,8:36,4190,45,AVAILABLE
141,4,10,8,8:38,8:44,3760,45,AVAILABLE
142,4,8,7,8:46,8:57,7570,45,AVAILABLE
143,3,7,1,10:00,10:11,7570,45,AVAILABLE
144,3,1,19,10:13,10:19,3760,45,AVAILABLE
145,3,19,12,10:21,10:27,4190,45,AVAILABLE
146,4,12,10,10:30,10:36,4190,45,AVAILABLE
147,4,10,8,10:38,10:44,3760,45,AVAILABLE
148,4,8,7,10:46,10:57,7570,45,AVAILABLE
149,3,7,1,12:00,12:11,7570,45,AVAILABLE
150,3,1,19,12:13,12:19,3760,45,AVAILABLE
151,3,19,12,12:21,12:27,4190,45,AVAILABLE
152,4,12,10,12:30,12:36,4190,45,AVAILABLE
153,4,10,8,12:38,12:44,3760,45,AVAILABLE
154,4,8,7,12:46,12:57,7570,45,AVAILABLE
155,3,7,1,14:00,14:11,7570,45,AVAILABLE
156,3,1,19,14:13,14:19,3760,45,AVAILABLE
157,3,19,12,14:21,14:27,4190,45,AVAILABLE
158,4,12,10,14:30,14:36,4190,45,AVAILABLE
159,4,10,8,14:38,14:44,3760,45,AVAILABLE
160,4,8,7,14:46,14:57,7570,45,AVAILABLE
161,3,7,1,16:00,16:11,7570,45,AVAILABLE
162,3,1,19,16:13,16:19,3760,45,AVAILABLE
163,3,19,12,16:21,16:27,4190,45,AVAILABLE
164,4,12,10,16:30,16:36,4190,45,AVAILABLE
165,4,10,8,16:38,16:44,3760,45,AVAILABLE
166,4,8,7,16:46,16:57,7570,45,AVAILABLE
167,3,7,1,18:00,18:11,7570,45,AVAILABLE
168,3,1,19,18:13,18:19,3760,45,AVAILABLE
169,3,19,12,18:21,18:27,4190,45,AVAILABLE
170,4,12,10,18:30,18:36,4190,45,AVAILABLE
171,4,10,8,18:38,18:44,3760,45,AVAILABLE
172,4,8,7,18:46,18:57,7570,45,AVAILABLE
173,3,7,1,20:00,20:11,7570,45,AVAILABLE
174,3,1,19,20:13,20:19,3760,45,AVAILABLE
175,3,19,12,20:21,20:27,4190,45,AVAILABLE
176,4,12,10,20:30,20:36,4190,45,AVAILABLE
177,4,10,8,20:38,20:44,3760,45,AVAILABLE
178,4,8,7,20:46,20:57,7570,45,AVAILABLE
179,5,11,12,9:00,9:04,2720,45,AVAILABLE
180,5,12,13,9:06,9:12,4420,45,AVAILABLE
181,5,13,20,9:14,9:28,9850,45,AVAILABLE
182,6,20,13,10:00,10:14,9850,45,AVAILABLE
183,6,13,12,10:16,10:22,4420,45,AVAILABLE
184,6,12,11,10:24,10:28,2720,45,AVAILABLE
185,5,11,12,11:00,11:04,2720,45,AVAILABLE
186,5,12,13,11:06,11:12,4420,45,AVAILABLE
187,5,13,20,11:14,11:28,9850,45,AVAILABLE
188,6,20,13,12:00,12:14,9850,45,AVAILABLE
189,6,13,12,12:16,12:22,4420,45,AVAILABLE
190,6,12,11,12:24,12:28,2720,45,AVAILABLE
191,5,11,12,13:00,13:04,2720,45,AVAILABLE
192,5,12,13,13:06,13:12,4420,45,AVAILABLE
193,5,13,20,13:14,13:28,9850,45,AVAILABLE
194,6,20,13,14:00,14:14,9850,45,AVAILABLE
195,6,13,12,14:16,14:22,4420,45,AVAILABLE
196,6,12,11,14:24,14:28,2720,45,AVAILABLE
197,5,11,12,15:00,15:04,2720,45,AVAILABLE
198,5,12,13,15:06,15:12,4420,45,AVAILABLE
199,5,13,20,15:14,15:28,9850,45,AVAILABLE
200,6,20,13,16:00,16:14,9850,45,AVAILABLE
201,6,13,12,16:16,16:22,4420,45,AVAILABLE
202,6,12,11,16:24,16:28,2720,45,AVAILABLE
203,5,11,12,17:00,17:04,2720,45,AVAILABLE
204,5,12,13,17:06,17:12,4420,45,AVAILABLE
205,5,13,20,17:14,17:28,9850,45,AVAILABLE
206,6,20,13,18:00,18:14,9850,45,AVAILABLE
207,6,13,12,18:16,18:22,4420,45,AVAILABLE
208,6,12,11,18:24,18:28,2720,45,AVAILABLE
209,5,11,12,19:00,19:04,2720,45,AVAILABLE
210,5,12,13,19:06,19:12,4420,45,AVAILABLE
211,5,13,20,19:14,19:28,9850,45,AVAILABLE
212,6,20,13,20:00,20:14,9850,45,AVAILABLE
213,6,13,12,20:16,20:22,4420,45,AVAILABLE
214,6,12,11,20:24,20:28,2720,45,AVAILABLE
215,7,1,2,9:00,9:04,2260,45,AVAILABLE
216,8,2,1,9:00,9:04,2260,45,AVAILABLE
217,7,1,2,9:30,9:34,2260,45,AVAILABLE
218,8,2,1,9:30,9:34,2260,45,AVAILABLE
219,7,1,2,11:00,11:04,2260,45,AVAILABLE
220,8,2,1,11:00,11:04,2260,45,AVAILABLE
221,7,1,2,11:30,11:34,2260,45,AVAILABLE
222,8,2,1,11:30,11:34,2260,45,AVAILABLE
223,7,1,2,13:00,13:04,2260,45,AVAILABLE
224,8,2,1,13:00,13:04,2260,45,AVAILABLE
225,7,1,2,13:30,13:34,2260,45,AVAILABLE
226,8,2,1,13:30,13:34,2260,45,AVAILABLE
227,7,1,2,15:00,15:04,2260,45,AVAILABLE
228,8,2,1,15:00,15:04,2260,45,AVAILABLE
229,7,1,2,15:30,15:34,2260,45,AVAILABLE
230,8,2,1,15:30,15:34,2260,45,AVAILABLE
231,7,1,2,17:00,17:04,2260,45,AVAILABLE
232,8,2,1,17:00,17:04,2260,45,AVAILABLE
233,7,1,2,17:30,17:34,2260,45,AVAILABLE
234,8,2,1,17:30,17:34,2260,45,AVAILABLE
235,7,1,2,19:00,19:04,2260,45,AVAILABLE
236,8,2,1,19:00,19:04,2260,45,AVAILABLE
237,7,1,2,19:30,19:34,2260,45,AVAILABLE
238,8,2,1,19:30,19:34,2260,45,AVAILABLE
239,7,1,2,21:00,21:04,2260,45,AVAILABLE
240,8,2,1,21:00,21:04,2260,45,AVAILABLE
241,9,3,4,8:00,8:06,4450,45,AVAILABLE
242,9,4,5,8:08,8:14,4220,45,AVAILABLE
243,9,5,3,8:16,8:25,6310,45,AVAILABLE
244,10,3,5,9:00,9:09,6310,45,AVAILABLE
245,10,5,4,9:11,9:17,4220,45,AVAILABLE
246,10,4,3,9:19,9:25,4450,45,AVAILABLE
247,9,3,4,10:00,10:06,4450,45,AVAILABLE
248,9,4,5,10:08,10:14,4220,45,AVAILABLE
249,9,5,3,10:16,10:25,6310,45,AVAILABLE
250,10,3,5,11:00,11:09,6310,45,AVAILABLE
251,10,5,4,11:11,11:17,4220,45,AVAILABLE
252,10,4,3,11:19,11:25,4450,45,AVAILABLE
253,9,3,4,12:00,12:06,4450,45,AVAILABLE
254,9,4,5,12:08,12:14,4220,45,AVAILABLE
255,9,5,3,12:16,12:25,6310,45,AVAILABLE
256,10,3,5,13:00,13:09,6310,45,AVAILABLE
257,10,5,4,13:11,13:17,4220,45,AVAILABLE
258,10,4,3,13:19,13:25,4450,45,AVAILABLE
259,9,3,4,14:00,14:06,4450,45,AVAILABLE
260,9,4,5,14:08,14:14,4220,45,AVAILABLE
261,9,5,3,14:16,14:25,6310,45,AVAILABLE
262,10,3,5,15:00,15:09,6310,45,AVAILABLE
263,10,5,4,15:11,15:17,4220,45,AVAILABLE
264,10,4,3,15:19,15:25,4450,45,AVAILABLE
265,9,3,4,16:00,16:06,4450,45,AVAILABLE
266,9,4,5,16:08,16:14,4220,45,AVAILABLE
267,9,5,3,16:16,16:25,6310,45,AVAILABLE
268,10,3,5,17:00,17:09,6310,45,AVAILABLE
269,10,5,4,17:11,17:17,4220,45,AVAILABLE
270,10,4,3,17:19,17:25,4450,45,AVAILABLE
271,9,3,4,18:00,18:06,4450,45,AVAILABLE
272,9,4,5,18:08,18:14,4220,45,AVAILABLE
273,9,5,3,18:16,18:25,6310,45,AVAILABLE
274,10,3,5,19:00,19:09,6310,45,AVAILABLE
275,10,5,4,19:11,19:17,4220,45,AVAILABLE
276,10,4,3,19:19,19:25,4450,45,AVAILABLE
277,9,3,4,20:00,20:06,4450,45,AVAILABLE
278,9,4,5,20:08,20:14,4220,45,AVAILABLE
279,9,5,3,20:16,20:25,6310,45,AVAILABLE
280,11,6,4,8:15,8:24,6040,45,AVAILABLE
281,11,4,5,8:26,8:32,4220,45,AVAILABLE
282,11,5,6,8:34,8:46,8570,45,AVAILABLE
283,12,6,5,9:45,9:57,8570,45,AVAILABLE
284,12,5,4,9:59,10:05,4220,45,AVAILABLE
285,12,4,6,10:07,10:16,6040,45,AVAILABLE
286,11,6,4,11:15,11:24,6040,45,AVAILABLE
287,11,4,5,11:26,11:32,4220,45,AVAILABLE
288,11,5,6,11:34,11:46,8570,45,AVAILABLE
289,12,6,5,12:45,12:57,8570,45,AVAILABLE
290,12,5,4,12:59,13:05,4220,45,AVAILABLE
291,12,4,6,13:07,13:16,6040,45,AVAILABLE
292,11,6,4,14:15,14:24,6040,45,AVAILABLE
293,11,4,5,14:26,14:32,4220,45,AVAILABLE
294,11,5,6,14:34,14:46,8570,45,AVAILABLE
295,12,6,5,15:45,15:57,8570,45,AVAILABLE
296,12,5,4,15:59,16:05,4220,45,AVAILABLE
297,12,4,6,16:07,16:16,6040,45,AVAILABLE
298,11,6,4,17:15,17:24,6040,45,AVAILABLE
299,11,4,5,17:26,17:32,4220,45,AVAILABLE
300,11,5,6,17:34,17:46,8570,45,AVAILABLE
301,12,6,5,18:45,18:57,8570,45,AVAILABLE
302,12,5,4,18:59,19:05,4220,45,AVAILABLE
303,12,4,6,19:07,19:16,6040,45,AVAILABLE
304,11,6,4,20:15,20:24,6040,45,AVAILABLE
305,11,4,5,20:26,20:32,4220,45,AVAILABLE
306,11,5,6,20:34,20:46,8570,45,AVAILABLE
